round,leader,write_status,write_latency_ms,immediate_stale_reads,replica_count,read_latency_avg_ms,read_latency_min_ms,read_latency_max_ms,convergence_ms,error
27,http://100.27.191.136:8000,200,305.2215999996406,0,3,336.5657999990314,149.85819999856176,562.8470999945421,1007.2251000019605,
28,http://100.27.191.136:8000,200,143.06099999521393,0,3,109.28580000230188,62.431199999991804,136.5187000046717,709.7705999985919,
29,http://100.27.191.136:8000,200,115.48089999996591,0,3,124.75956666700465,114.1834000009112,141.05459999700543,414.4229000012274,
30,http://100.27.191.136:8000,200,205.69850000174483,0,3,103.15496666832284,55.87740000191843,137.52319999912288,615.7515999948373,
31,http://100.27.191.136:8000,200,307.2372999959043,0,3,192.01773333043093,141.44929999747546,242.14519999804907,1936.419300000125,
32,http://100.27.191.136:8000,200,196.8020999993314,0,3,256.2442666652108,161.12609999981942,345.65469999506604,300.5258999983198,
33,http://100.27.191.136:8000,200,55.04559999826597,0,3,58.947999998054,54.449299997941125,62.50729999737814,227.3642000000109,
34,http://100.27.191.136:8000,200,69.90700000460492,0,3,61.09253333124798,53.48070000036387,67.30589999642689,219.6124999973108,
35,http://100.27.191.136:8000,200,70.80799999675946,0,3,64.10723333101487,59.55510000057984,70.2127999975346,211.65040000050794,
36,http://100.27.191.136:8000,200,78.69200000277488,0,3,61.180900001393944,57.88369999936549,63.60250000579981,204.2520999966655,
37,http://100.27.191.136:8000,200,59.0511000045808,0,3,66.50519999917985,63.824899996689055,68.25899999967078,785.0854999996955,
38,http://100.27.191.136:8000,200,397.51070000056643,0,3,235.07323333372673,163.91060000023572,370.3629000010551,741.6068000020459,
39,http://100.27.191.136:8000,200,440.2568000004976,0,3,277.54863333393587,158.75619999860646,359.7370999996201,1161.984799997299,
40,http://100.27.191.136:8000,200,763.1188000013935,0,3,377.08899999900797,147.31770000071265,722.2116999982973,1389.4120000040857,
41,http://100.27.191.136:8000,200,324.69140000466723,0,3,127.0065999997314,78.38069999706931,208.36899999994785,1076.6696999999112,
42,http://100.27.191.136:8000,200,126.48300000000745,0,3,235.7680000034937,109.40720000508009,311.67890000506304,274.02209999854676,
43,http://100.27.191.136:8000,200,495.9702999985893,0,3,291.2566000013612,115.48300000140443,446.854900001199,1394.9283999972977,
44,http://100.27.191.136:8000,200,199.2138999994495,0,3,78.35326666827314,64.4531000070856,92.05029999429826,227.2090999977081,
45,http://100.27.191.136:8000,200,69.78430000162916,0,3,79.14840000012191,65.12369999836665,97.12710000167135,203.09629999974277,
46,http://100.27.191.136:8000,200,62.55550000059884,0,3,67.50066666912365,57.216799999878276,76.56760000099894,236.96639999980107,
47,http://100.27.191.136:8000,200,69.09119999909308,0,3,66.66096666352435,62.57039999763947,72.175099994638,438.9408999995794,
48,http://100.27.191.136:8000,200,306.9117000050028,0,3,464.3505333345577,100.23809999984223,717.3344000038924,1519.2423999978928,
49,http://100.27.191.136:8000,200,443.73410000116564,0,3,428.95833333507954,322.35360000049695,529.9154000022099,487.419700002647,
50,http://100.27.191.136:8000,200,386.1051000058069,0,3,408.97036666622927,305.42839999543503,511.519200001203,382.8940000021248,
51,http://100.27.191.136:8000,200,116.06249999749707,0,3,288.69853333405143,120.28300000383751,377.6625999962562,1145.0115999978152,
52,http://100.27.191.136:8000,200,330.08450000488665,0,3,614.477866666372,395.83649999985937,796.9995000021299,1099.7967000002973,
53,http://100.27.191.136:8000,200,358.59049999999115,0,3,531.3728333324738,507.28329999401467,567.084900001646,744.7689000036917,
54,http://100.27.191.136:8000,200,565.1991999984602,0,3,302.59559999831254,271.8641999963438,326.9379999983357,410.35050000209594,
55,http://100.27.191.136:8000,200,383.64069999806816,0,3,169.7916333335646,78.53769999928772,337.86130000225967,1420.6787000002805,
56,http://100.27.191.136:8000,200,346.80780000053346,0,3,193.57196667018192,115.536900004372,297.56060000363505,1285.0863999992725,
57,http://100.27.191.136:8000,200,167.48229999939213,0,3,176.70910000015283,77.80150000326103,276.5421000003698,1433.48960000003,
58,http://100.27.191.136:8000,200,171.89939999661874,0,3,380.13946666615084,137.17099999485072,517.3496000061277,739.4389999972191,
59,http://100.27.191.136:8000,200,186.22629999299534,0,3,476.2030333367875,208.73360000405228,636.9674000015948,662.4310999977752,
60,http://100.27.191.136:8000,200,341.50470000167843,0,3,363.1033333319162,331.1466999948607,392.74119999754475,1331.1194999987492,
61,http://100.27.191.136:8000,200,182.11090000113472,0,3,377.00390000100015,131.48270000237972,694.1331000052742,764.1692999968654,
62,http://100.27.191.136:8000,200,172.26369999843882,0,3,212.3201000043385,169.8684000002686,287.5917000055779,862.8007000006619,
63,http://100.27.191.136:8000,200,87.29219999804627,0,3,61.87590000142033,60.90940000285627,62.670799998159055,192.53970000136178,
64,http://100.27.191.136:8000,200,72.24819999828469,0,3,72.06660000034996,63.70040000183508,82.91109999845503,202.8615000017453,
65,http://100.27.191.136:8000,200,56.89120000170078,0,3,70.11520000135836,61.27520000154618,83.27290000306675,200.67379999818513,
66,http://100.27.191.136:8000,200,62.73669999791309,0,3,131.0768666662625,81.39700000174344,193.81419999990612,701.3239000007161,
67,http://100.27.191.136:8000,200,357.2051000010106,0,3,257.50830000227626,99.43220000423025,348.2688000003691,975.823600005242,
68,http://100.27.191.136:8000,200,85.33229999738978,0,3,244.15163333469536,132.2645000036573,307.95360000047367,1295.4026000006706,
69,http://100.27.191.136:8000,200,875.1803000050131,0,3,350.6367000033303,147.8521000026376,716.539200002444,953.9059000017005,
70,http://100.27.191.136:8000,200,352.52069999842206,0,3,434.20633333395625,87.24039999651723,628.2986000005621,1297.062300000107,
71,http://100.27.191.136:8000,200,344.2012000014074,0,3,230.10496666878075,117.42550000053598,307.57620000076713,594.2385000016657,
72,http://100.27.191.136:8000,200,663.9533999987179,0,3,450.28806666717475,252.3363000000245,680.6006000042544,1280.4046000019298,
73,http://100.27.191.136:8000,200,376.40619999729097,0,3,189.59043333355416,148.22280000225874,261.6651999996975,1172.0877999978256,
74,http://100.27.191.136:8000,200,106.39050000463612,0,3,348.6794000006436,69.91710000147577,632.1469999966212,1735.252300000866,
75,http://100.27.191.136:8000,200,445.23060000210535,0,3,118.1974999999511,64.35539999802131,204.01750000019092,995.6130999999004,
76,http://100.27.191.136:8000,200,329.43580000574,0,3,161.66113333262425,88.72100000007777,299.5565000019269,912.4439000006532,
77,http://100.27.191.136:8000,200,366.36659999931,0,3,58.04606666788459,55.65819999901578,61.831099999835715,199.5865999997477,
78,http://100.27.191.136:8000,200,62.28529999498278,0,3,73.76956666848855,63.41909999900963,91.92510000139009,217.10950000124285,
79,http://100.27.191.136:8000,200,69.16120000096271,0,3,75.68266666688335,70.70740000199294,83.1116999979713,215.48170000460232,
80,http://100.27.191.136:8000,200,63.90059999830555,0,3,70.39540000065851,60.03210000199033,76.56470000074478,222.2939999992377,
81,http://100.27.191.136:8000,200,149.93269999831682,0,3,345.9706333305803,291.6832999981125,404.42509999411413,1014.4736000002013,
82,http://100.27.191.136:8000,200,348.35279999970226,0,3,397.6345666645405,193.64909999421798,693.1833999988157,906.1008999997284,
83,http://100.27.191.136:8000,200,157.057900003565,0,3,559.5288999999563,375.24009999469854,653.9208000031067,771.7296999981045,
84,http://100.27.191.136:8000,200,684.2609999948763,0,3,209.7734000029353,111.12049999792362,397.3297000047751,1312.7603000029922,
85,http://100.27.191.136:8000,200,183.50739999732468,0,3,327.55243333425216,273.84380000148667,403.74619999784045,1160.5058999994071,
86,http://100.27.191.136:8000,200,67.89320000098087,0,3,321.93673333191936,79.24110000021756,661.5566999971634,661.1455999955069,
87,http://100.27.191.136:8000,200,66.03280000126688,0,3,60.27516666411733,57.65889999747742,63.49629999749595,207.53130000230158,
88,http://100.27.191.136:8000,200,92.15930000209482,0,3,65.01679999928456,60.33600000228034,72.04110000020592,254.7950000007404,
89,http://100.27.191.136:8000,200,78.09320000524167,0,3,79.49299999745563,60.95499999355525,91.49449999677017,195.54369999968912,
90,http://100.27.191.136:8000,200,68.10219999897527,0,3,72.41200000134995,59.27170000359183,85.97340000414988,219.27529999811668,
91,http://100.27.191.136:8000,200,64.31430000520777,0,3,66.80770000093617,64.14960000256542,69.24449999496574,228.90989999723388,
92,http://100.27.191.136:8000,200,73.94580000254791,0,3,74.72006666406135,58.58619999344228,83.14539999992121,226.6416000056779,
93,http://100.27.191.136:8000,200,70.52700000349432,0,3,70.35469999876416,66.96959999680985,75.1317000031122,518.3602999968571,
94,http://100.27.191.136:8000,200,482.14439999719616,0,3,307.3354000031638,194.50180000421824,492.24559999856865,1546.5165999994497,
95,http://100.27.191.136:8000,200,302.20940000435803,0,3,466.22143333418836,98.90630000154488,718.2235000000219,1175.205300001835,
96,http://100.27.191.136:8000,200,395.9621999965748,0,3,203.36883333463143,103.66510000312701,373.90859999868553,819.4584000011673,
97,http://100.27.191.136:8000,200,317.4425000033807,0,3,610.8198666624958,399.7851999956765,812.1170999947935,997.0130000001518,
98,http://100.27.191.136:8000,200,74.06579999951646,0,3,312.26760000330006,125.51189999794587,440.8088000054704,791.2563999998383,
99,http://100.27.191.136:8000,200,129.5174000042607,0,3,306.90799999865703,230.80089999712072,381.0908000014024,1214.1971999953967,
100,http://100.27.191.136:8000,200,695.125400001416,0,3,433.97890000293654,107.54060000181198,717.0039000047836,879.4024000017089,
